Region,Site,Species,Treatment,Nubbin ID,Rack..,Survival,Percentage.dead,Color1,Color2,Color.Average,Y,,Symbiont.ID,SymbiontID_KB,Coral.ID,CoralID_KB,Holobiont
Heron,Pam's Point,Pocillopora,Juvenile,HJ040,18,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Juvenile,HJ041,15,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Juvenile,HJ042,17,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Juvenile,HJ043,16,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Juvenile,HJ044,13,1,95,2,2,2,,,,,,,
Heron,Pam's Point,Pocillopora,Juvenile,HJ045,18,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Juvenile,HJ046,13,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Juvenile,HJ047,15,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Juvenile,HJ048,17,0,100,,,,,,,,,,
Heron,Harry's Bommie,Stylophora,Juvenile,HJ049,4,0,100,,,,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Juvenile,HJ050,3,1,7,5,5,5,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Juvenile,HJ051,1,1,10,4,3,3.5,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Juvenile,HJ052,5,1,75,2,2,2,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Juvenile,HJ053,1,1,5,2,4,3,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Juvenile,HJ054,2,0,100,,,,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Juvenile,HJ055,5,1,17,5,4,4.5,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Juvenile,HJ056,1,1,10,4,2,3,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Juvenile,HJ057,6,1,12,3,4,3.5,,,,,,,
Heron,Harry's Bommie,Stylophora,Juvenile,HJ058,6,1,3,5,4,4.5,,,,,,,
Heron,Harry's Bommie,Stylophora,Juvenile,HJ059,6,0,100,,,,,,,,,,
Heron,Harry's Bommie,Stylophora,Juvenile,HJ060,5,1,7,4,5,4.5,,,,,,,
Heron,Harry's Bommie,Stylophora,Juvenile,HJ061,2,0,100,,,,,,,,,,
Heron,Harry's Bommie,Stylophora,Juvenile,HJ062,3,0,100,,,,,,,,,,
Heron,Harry's Bommie,Stylophora,Juvenile,HJ063,3,1,60,5,4,4.5,,,,,,,
Heron,Harry's Bommie,Stylophora,Juvenile,HJ064,5,1,20,2,3,2.5,,,,,,,
Heron,Coral Canyons,Stylophora,Juvenile,HJ065,8,1,7,2,2,2,,,C78a,C78,,C78,C78a
Heron,Coral Canyons,Stylophora,Juvenile,HJ066,8,1,5,3,4,3.5,,,C78a,C78,,C78,C78a
Heron,Coral Canyons,Stylophora,Juvenile,HJ067,8,1,5,4,4,4,,,C78a,C78,,C78,C78a
Heron,Coral Canyons,Stylophora,Juvenile,HJ068,12,1,60,3,,3,,,C78a,C78,,C78,C78a
Heron,Coral Canyons,Stylophora,Juvenile,HJ069,11,1,20,3,2,2.5,,,C78a,C78,,C78,C78a
Heron,Coral Canyons,Stylophora,Juvenile,HJ070,9,1,98,2,,2,,,C78a,C78,,C78,C78a
Heron,Coral Canyons,Stylophora,Juvenile,HJ071,10,1,7,4,2,3,,,C78a,C78,,C78,C78a
Heron,Coral Canyons,Stylophora,Juvenile,HJ072,11,0,100,,,,,,C8a,C8,,C8,C8 group
Heron,Coral Canyons,Stylophora,Juvenile,HJ073,12,0,100,,,,,,,,,,
Heron,Coral Canyons,Stylophora,Juvenile,HJ074,10,1,50,4,,4,,,,,,,
Heron,Coral Canyons,Stylophora,Juvenile,HJ075,12,0,100,,,,,,,,,,
Heron,Coral Canyons,Stylophora,Juvenile,HJ076,7,,,,,,,missing,,,,,
Heron,Coral Canyons,Stylophora,Juvenile,HJ077,9,1,99,2,,2,,,,,,,
Heron,Coral Canyons,Stylophora,Juvenile,HJ078,7,1,40,3,2,2.5,,,,,,,
Heron,Coral Canyons,Stylophora,Juvenile,HJ079,11,1,7,3,2,2.5,,,,,,,
Heron,Coral Canyons,Stylophora,Juvenile,HJ080,9,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Juvenile,HJ081,17,1,40,3,3,3,,,C8a,C8,,C8,C8 group
Heron,Pam's Point,Stylophora,Juvenile,HJ082,15,0,100,,,,,,C35a,C35,,C35,C35a group
Heron,Pam's Point,Stylophora,Juvenile,HJ083,14,0,100,,,,,,C35a?,C35,,C35,C35a group
Heron,Pam's Point,Stylophora,Juvenile,HJ084,15,0,100,,,,,,C35a,C35,,C35,C35a group
Heron,Pam's Point,Stylophora,Juvenile,HJ085,16,0,100,,,,,,C35a,C35,,C35,C35a group
Heron,Pam's Point,Stylophora,Juvenile,HJ086,17,0,100,,,,,,C35a+,C35,,C35,C35a group
Heron,Pam's Point,Stylophora,Juvenile,HJ087,15,0,100,,,,,,C35a,C35,,C35,C35a group
Heron,Pam's Point,Stylophora,Juvenile,HJ088,15,0,100,,,,,,C78a,C78,,C78,C78a
Heron,Pam's Point,Stylophora,Juvenile,HJ089,14,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Juvenile,HJ090,18,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Juvenile,HJ091,17,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Juvenile,HJ092,16,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Juvenile,HJ093,17,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Juvenile,HJ094,13,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Juvenile,HJ095,17,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Juvenile,HJ096,15,0,100,,,,,,,,,,
Lizard,Granite Bluff,Pocillopora,Adult,LA001,2,1,0,4,4,4,,,C1cdt,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Granite Bluff,Pocillopora,Adult,LA002,11,0,100,,,,,,C1cdt,C1,Pnew (no rel),new,Pnew (rel Pbairdi)C. pacificum
Lizard,Granite Bluff,Pocillopora,Adult,LA003,11,0,100,,,,,,C1cdt,C1,Pver(OPI40),Pver,Pver(OPI40)C. pacificum
Lizard,Granite Bluff,Pocillopora,Adult,LA004,10,1,0,4,5,4.5,,,C1cdt,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Granite Bluff,Pocillopora,Adult,LA005,2,0,100,,,,,,C1cdt,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC.pacificum (mix with C.latusorum)
Lizard,Granite Bluff,Pocillopora,Adult,LA006,10,1,0,5,5,5,,,C1cdt,C1,Pver(OPI40),Pver,Pver(OPI40)C. pacificum
Lizard,Granite Bluff,Pocillopora,Adult,LA007,11,1,0,5,4,4.5,,,C1cdt,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Granite Bluff,Pocillopora,Adult,LA008,10,1,0,6,5,5.5,,,C1c,C1,Pver(OPI40),Pver,Pver(OPI40)C. pacificum
Lizard,Granite Bluff,Pocillopora,Adult,LA009,11,0,100,,,,,,,,,,
Lizard,Granite Bluff,Pocillopora,Adult,LA010,10,1,0,2,3,2.5,,,,,,,
Lizard,Granite Bluff,Pocillopora,Adult,LA011,10,1,0,3,3,3,,,,,,,
Lizard,Granite Bluff,Pocillopora,Adult,LA012,18,1,0,4,5,4.5,,,,,,,
Lizard,Big Vicki's,Pocillopora,Adult,LA013,13,1,0,4,3,3.5,,,C1c,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Big Vicki's,Pocillopora,Adult,LA014,2,1,0,4,4,4,,,C1c,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Big Vicki's,Pocillopora,Adult,LA015,17,1,0,3,4,3.5,,,C1c,C1,Pver(OPI40),Pver,Pver(OPI40)C. pacificum
Lizard,Big Vicki's,Pocillopora,Adult,LA016,13,1,0,5,3,4,,,C1c,C1,Pver(OPI40),Pver,Pver(OPI40)C. pacificum
Lizard,Big Vicki's,Pocillopora,Adult,LA017,10,1,2,4,5,4.5,,,C1c,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Big Vicki's,Pocillopora,Adult,LA018,13,1,0,4,3,3.5,,,C1c,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Big Vicki's,Pocillopora,Adult,LA019,13,1,0,4,4,4,,,C1c,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Big Vicki's,Pocillopora,Adult,LA020,8,1,0,6,5,5.5,,,C1c,C1,Pver(OPI40),Pver,Pver(OPI40)C. pacificum
Lizard,Big Vicki's,Pocillopora,Adult,LA021,4,1,0,4,3,3.5,,,,,,,
Lizard,Big Vicki's,Pocillopora,Adult,LA022,3,0,100,,,,,,,,,,
Lizard,Big Vicki's,Pocillopora,Adult,LA023,3,0,100,,,,,,,,,,
Lizard,Big Vicki's,Pocillopora,Adult,LA024,3,1,5,5,5,5,,,,,,,
