Holobiont,Species,Time,Region,Treatment,Sample_ID,Nubbin_ID,host_d15N,host_d13C,host_CN_molar,sym_d15N,sym_d13C,sym_CN_molar
PdamC33a_sGBR,Pocillopora,Before,Heron,Juvenile,HJ017,HJ017,4.3,-15.7,5.4,,,
PdamC33a_sGBR,Pocillopora,Before,Heron,Juvenile,HJ018,HJ018,4.2,-15.5,5.3,2.7,-15.8,7.7
PdamC33a_sGBR,Pocillopora,Before,Heron,Juvenile,HJ020,HJ020,4.4,-17.1,5.4,3.8,-16.7,7.5
PdamC33a_sGBR,Pocillopora,Before,Heron,Juvenile,HJ033,HJ033,5.1,-15.5,5.5,3,-16.2,8.1
PdamC33a_sGBR,Pocillopora,Before,Heron,Juvenile,HJ036,HJ036,4.9,-15.6,5.5,,,
PdamC33a_sGBR,Pocillopora,Before,Heron,Juvenile,HJ037,HJ037,4.9,-18.1,5.4,2,-18.3,7.2
PdamC33a_sGBR,Pocillopora,Before,Heron,Juvenile,HJ038,HJ038,4.9,-15.4,5.5,3.2,-16.2,7
C78a,Stylophora,Before,Heron,Juvenile,HJ049,HJ049,4.9,-15.8,5.1,3.6,-16.3,6.8
C78a,Stylophora,Before,Heron,Juvenile,HJ050,HJ050,4.2,-15.6,5,3.9,-15.7,6.4
C78a,Stylophora,Before,Heron,Juvenile,HJ053,HJ053,5.4,-16.7,5.3,2.9,-16,7
C78a,Stylophora,Before,Heron,Juvenile,HJ055,HJ055,4.1,-16.9,5.4,3.2,-17.1,6.5
C78a,Stylophora,Before,Heron,Juvenile,HJ065,HJ065,4.7,-16.3,5.2,3.6,-16,6.9
C78a,Stylophora,Before,Heron,Juvenile,HJ066,HJ066,4.4,-15.7,5.2,4.2,-16.4,6.8
C78a,Stylophora,Before,Heron,Juvenile,HJ067,HJ067,4.6,-15.5,5.3,4.1,-15.5,5.9
C78a,Stylophora,Before,Heron,Juvenile,HJ071,HJ071,4.5,-16.1,5.3,3.7,-16.6,6.2
C78a,Stylophora,Before,Heron,Juvenile,HJ088,HJ088,5.1,-16,5.2,4.2,-15.7,6.1
Pver(OPI40)C. pacificum,Pocillopora,Before,Lizard,Adult,LA003,LA003,4,-18.6,4.9,3.4,-17.2,6.9
